offense_id,occur_date,occur_day,occur_time,beat,zone,ibr_code,uc2_literal,neighborhood,npu,lat,long
210481874,2021-02-16,Tuesday,03:29:00,603,6,23H,Larceny Non Vehicle,Old Fourth Ward,M,33.761567,-84.369939
210481880,2021-02-17,Wednesday,19:51:00,614,6,23C,Larceny Non Vehicle,Midtown,E,33.775124,-84.365848
210481901,2021-02-17,Wednesday,20:00:00,404,4,240,Auto Theft,NA,I,33.748484,-84.442478
210481914,2021-02-16,Tuesday,21:00:00,212,2,23F,Larceny From Vehicle,Morningside/Lenox Park,F,33.812436,-84.36584
210481926,2021-02-17,Wednesday,21:36:00,313,3,13A,Agg Assault,South River Gardens,Z,33.66753,-84.356717
210481928,2021-02-17,Wednesday,20:24:00,502,5,240,Auto Theft,Midtown,E,33.78938,-84.388232
210481970,2021-02-17,Wednesday,19:30:00,502,5,23F,Larceny From Vehicle,NA,E,33.782229,-84.369216
210481975,2021-02-17,Wednesday,20:39:00,612,6,13A,Agg Assault,East Atlanta,W,33.718996,-84.330328
210482011,2021-02-17,Wednesday,19:55:00,503,5,23F,Larceny From Vehicle,Midtown,E,33.785869,-84.384886
210482090,2021-02-17,Wednesday,00:00:00,212,2,23F,Larceny From Vehicle,Lindridge/Martin Manor,F,33.818211,-84.352102
210482105,2021-02-17,Wednesday,00:30:00,610,6,23F,Larceny From Vehicle,Kirkwood,O,33.752504,-84.319587
210482146,2021-02-17,Wednesday,23:44:00,604,6,23C,Larceny Non Vehicle,Sweet Auburn,M,33.754417,-84.3744
210482147,2021-02-17,Wednesday,23:35:00,108,1,240,Auto Theft,Westhaven,I,33.755584,-84.468106
210482156,2021-02-17,Wednesday,10:00:00,508,5,23F,Larceny From Vehicle,Downtown,M,33.757468,-84.391103
210482177,2021-02-17,Wednesday,23:45:00,304,3,220,Burglary,Peoplestown,V,33.72649,-84.39059
210490009,2021-02-18,Thursday,00:08:00,302,3,120,Robbery,Pittsburgh,V,33.720431,-84.394021
210490181,NA,NA,NA,102,1,13A,Agg Assault,Vine City,L,33.758165,-84.416906
210490321,2021-02-17,Wednesday,16:55:00,114,1,220,Burglary,Atlanta Industrial Park,G,33.798368,-84.490323
210490336,2021-02-18,Thursday,07:21:00,206,2,23D,Larceny Non Vehicle,Peachtree Heights West,B,33.839913,-84.382706
210490582,2021-02-10,Wednesday,18:00:00,113,1,220,Burglary,Lincoln Homes,G,33.796989,-84.476592
210490648,2021-02-17,Wednesday,19:00:00,408,4,23F,Larceny From Vehicle,Venetian Hills,S,33.721069,-84.449613
210490698,2021-02-05,Friday,17:00:00,108,1,23H,Larceny Non Vehicle,Florida Heights,I,33.752587,-84.462809
210490769,2021-02-18,Thursday,12:00:00,205,2,23F,Larceny From Vehicle,Wildwood (NPU-C),C,33.810323,-84.414573
210490771,2021-02-18,Thursday,10:00:00,103,1,240,Auto Theft,Riverside,D,33.810041,-84.471288
210490825,2021-02-18,Thursday,12:45:00,211,2,23F,Larceny From Vehicle,Lindbergh/Morosgo,B,33.825441,-84.362192
210490913,2021-02-18,Thursday,11:30:00,207,2,23F,Larceny From Vehicle,Berkeley Park,D,33.80083,-84.408358
210490941,2021-02-17,Wednesday,23:00:00,407,4,240,Auto Theft,Mays,H,33.743437,-84.503663
